Time,Proton_V_nonlin,Proton_Np_nonlin,BX,BY,BZ
2020-01-01T00:02:12.057Z,298.0,7.79,2.54,1.53,0.0369
2020-01-01T00:03:51.300Z,298.0,8.29,2.58,1.56,-0.0274
2020-01-01T00:05:30.544Z,293.0,5.77,2.81,1.48,-0.0857
2020-01-01T00:07:09.788Z,292.0,5.17,2.87,1.1,-0.0848
2020-01-01T00:08:45.930Z,292.0,5.28,2.91,0.869,0.159
2020-01-01T00:10:25.174Z,290.0,4.91,2.82,0.681,0.0259
2020-01-01T00:12:04.417Z,297.0,7.97,2.74,0.886,0.0452
2020-01-01T00:13:43.661Z,301.0,7.66,2.37,0.894,0.784
2020-01-01T00:15:22.905Z,298.0,7.46,2.78,0.435,0.961
2020-01-01T00:16:59.047Z,296.0,7.75,3.2,0.329,0.822
2020-01-01T00:18:38.291Z,293.0,6.69,3.19,0.236,0.951
2020-01-01T00:20:17.534Z,297.0,7.45,2.99,-0.236,1.05
2020-01-01T00:21:56.778Z,297.0,7.56,2.83,-0.14,1.1
2020-01-01T00:23:36.022Z,297.0,7.66,2.85,-0.576,1.11
2020-01-01T00:25:15.266Z,294.0,4.9,2.6,-1.42,1.6
2020-01-01T00:26:54.509Z,300.0,7.7,2.12,-1.83,1.47
2020-01-01T00:28:33.753Z,307.0,9.11,0.981,-2.35,1.5
2020-01-01T00:30:12.997Z,301.0,7.68,2.45,-2.28,1.58
2020-01-01T00:31:55.342Z,302.0,3.64,3.17,-2.29,2.08
2020-01-01T00:33:34.585Z,305.0,5.95,3.21,-2.12,2.09
2020-01-01T00:35:13.829Z,302.0,4.21,3.22,-2.09,2.15
2020-01-01T00:36:53.073Z,302.0,6.69,3.09,-2.06,2.07
2020-01-01T00:38:32.316Z,296.0,5.27,3.42,-1.95,1.98
2020-01-01T00:40:11.560Z,302.0,3.89,3.97,-2.26,2.21
2020-01-01T00:41:50.804Z,303.0,5.13,3.93,-2.32,2.26
2020-01-01T00:43:30.048Z,306.0,7.36,3.77,-2.11,1.91
2020-01-01T00:45:09.291Z,300.0,9.34,3.5,-0.611,0.782
2020-01-01T00:46:45.434Z,301.0,9.77,3.42,-1.27,0.852
2020-01-01T00:48:24.677Z,303.0,9.41,3.36,-1.52,1.02
2020-01-01T00:50:03.921Z,301.0,9.41,3.43,-1.37,0.835
2020-01-01T00:51:43.165Z,301.0,8.75,3.74,-1.33,0.412
2020-01-01T00:53:22.408Z,299.0,8.69,3.66,-1.47,0.407
2020-01-01T00:55:01.652Z,303.0,11.0,2.14,-0.968,0.176
2020-01-01T00:56:40.896Z,299.0,9.99,2.66,-0.961,0.0295
2020-01-01T00:58:20.139Z,300.0,9.6,2.73,-1.43,-0.333
2020-01-01T00:59:59.383Z,299.0,9.57,2.78,-1.63,-0.418
2020-01-01T01:01:38.627Z,300.0,9.68,3.06,-1.77,-0.686
2020-01-01T01:03:17.871Z,302.0,10.1,2.98,-1.96,-0.739
2020-01-01T01:04:57.114Z,299.0,7.72,3.36,-1.82,-1.04
2020-01-01T01:06:36.358Z,307.0,12.2,3.5,-1.43,-2.0
2020-01-01T01:08:15.602Z,295.0,8.46,3.73,-1.22,-1.76
2020-01-01T01:09:54.845Z,308.0,11.9,2.88,-1.19,-2.06
2020-01-01T01:11:34.089Z,298.0,9.36,3.51,-2.02,-0.893
2020-01-01T01:13:13.333Z,296.0,8.88,3.56,-1.89,-1.02
2020-01-01T01:14:52.576Z,295.0,8.09,3.56,-1.79,-0.842
2020-01-01T01:16:31.820Z,302.0,10.5,3.16,-2.33,1.19
2020-01-01T01:18:11.064Z,305.0,9.53,3.41,-1.81,-0.448
2020-01-01T01:19:50.308Z,294.0,7.5,3.5,-1.18,-1.54
2020-01-01T01:21:29.551Z,292.0,4.86,3.58,-1.22,-1.38
2020-01-01T01:23:08.795Z,294.0,8.21,3.46,-1.21,-1.26
2020-01-01T01:24:48.039Z,292.0,7.76,2.89,-0.536,-1.65
2020-01-01T01:26:27.282Z,300.0,10.8,2.93,-0.659,-1.38
2020-01-01T01:28:03.425Z,293.0,5.64,2.89,-0.568,-1.85
2020-01-01T01:29:42.668Z,299.0,3.88,4.24,-2.42,-0.785
2020-01-01T01:31:21.912Z,312.0,8.37,4.37,-2.49,-0.543
2020-01-01T01:33:01.156Z,312.0,8.82,4.33,-2.6,-0.357
2020-01-01T01:34:40.399Z,311.0,8.92,4.39,-2.58,-0.373
2020-01-01T01:36:19.643Z,300.0,4.63,4.6,-2.64,-0.437
2020-01-01T01:37:58.887Z,308.0,8.72,4.59,-2.62,-0.586
2020-01-01T01:39:38.131Z,305.0,7.85,4.62,-2.47,-0.226
2020-01-01T01:41:17.374Z,301.0,5.08,4.8,-2.5,-0.0163
2020-01-01T01:42:56.618Z,298.0,4.62,4.79,-2.56,-0.108
2020-01-01T01:44:35.862Z,297.0,5.39,5.13,-2.09,0.034
2020-01-01T01:46:15.105Z,296.0,5.41,5.1,-2.23,-0.243
2020-01-01T01:47:54.349Z,296.0,4.77,5.14,-2.39,-0.387
2020-01-01T01:49:33.593Z,297.0,5.2,5.14,-2.51,-0.244
2020-01-01T01:51:12.837Z,298.0,5.01,5.08,-2.64,0.19
2020-01-01T01:52:52.080Z,297.0,4.95,5.0,-2.59,0.267
2020-01-01T01:54:31.324Z,297.0,4.93,5.09,-2.46,0.369
2020-01-01T01:56:10.568Z,297.0,5.56,5.24,-2.42,0.291
2020-01-01T01:57:49.811Z,297.0,5.05,5.29,-2.36,0.281
2020-01-01T01:59:29.055Z,297.0,5.15,5.28,-2.31,0.354
2020-01-01T02:01:08.299Z,295.0,4.93,5.26,-2.14,0.328
2020-01-01T02:02:47.542Z,295.0,5.15,5.26,-1.89,-0.0143
2020-01-01T02:04:26.786Z,295.0,5.22,5.22,-1.96,0.234
2020-01-01T02:06:02.929Z,296.0,5.02,5.2,-2.0,0.346
2020-01-01T02:07:42.172Z,296.0,5.03,5.24,-1.87,0.505
2020-01-01T02:09:21.416Z,295.0,3.96,5.06,-1.69,1.2
2020-01-01T02:11:00.660Z,294.0,4.38,4.76,-1.53,1.05
2020-01-01T02:12:39.903Z,297.0,5.45,4.49,-1.62,1.25
2020-01-01T02:14:19.147Z,297.0,6.53,4.42,-1.45,1.22
2020-01-01T02:15:58.391Z,297.0,4.3,4.5,-1.58,1.1
2020-01-01T02:17:37.634Z,298.0,4.15,4.59,-1.66,1.01
2020-01-01T02:19:16.878Z,297.0,6.35,4.31,-1.52,1.05
2020-01-01T02:20:56.122Z,294.0,7.34,3.86,-1.54,1.11
2020-01-01T02:22:35.366Z,295.0,5.34,4.47,-1.11,1.35
2020-01-01T02:24:14.609Z,295.0,5.91,4.36,-1.29,1.3
2020-01-01T02:25:53.853Z,297.0,4.7,4.49,-1.53,1.24
2020-01-01T02:27:33.097Z,295.0,4.13,4.17,-1.53,1.33
2020-01-01T02:29:12.340Z,291.0,6.04,3.93,-1.61,1.36
2020-01-01T02:30:51.584Z,297.0,4.08,4.33,-1.57,1.2
2020-01-01T02:32:30.828Z,293.0,6.2,4.17,-1.34,1.29
2020-01-01T02:34:10.072Z,291.0,6.41,4.25,-1.19,1.26
2020-01-01T02:35:46.214Z,295.0,4.65,4.65,-1.34,1.41
2020-01-01T02:37:25.458Z,297.0,5.9,4.55,-1.42,1.76
2020-01-01T02:39:04.701Z,302.0,11.1,2.19,1.43,1.33
2020-01-01T02:40:43.945Z,302.0,7.98,2.29,0.84,1.51
2020-01-01T02:42:23.189Z,300.0,10.7,2.83,0.506,1.4
2020-01-01T02:43:59.331Z,300.0,11.1,3.02,0.42,1.31
2020-01-01T02:45:38.575Z,300.0,11.5,3.18,0.662,1.33
2020-01-01T02:47:17.818Z,299.0,11.3,3.05,0.746,1.42
2020-01-01T02:48:57.062Z,301.0,11.9,2.25,1.77,1.46
2020-01-01T02:50:36.306Z,299.0,12.0,1.99,2.01,1.26
2020-01-01T02:52:15.550Z,302.0,12.2,1.32,2.22,1.12
2020-01-01T02:53:54.793Z,304.0,11.8,2.07,1.87,1.51
2020-01-01T02:55:34.037Z,306.0,8.61,3.52,-0.609,2.02
2020-01-01T02:57:13.281Z,307.0,8.86,3.57,-1.52,1.93
2020-01-01T02:58:52.524Z,310.0,8.18,3.75,-1.23,2.41
2020-01-01T03:00:31.768Z,310.0,8.09,3.66,-1.16,2.18
2020-01-01T03:02:11.012Z,310.0,8.61,3.72,-1.09,2.3
2020-01-01T03:03:50.256Z,313.0,8.98,3.69,-0.97,2.34
2020-01-01T03:05:29.499Z,304.0,5.2,3.89,-0.912,2.38
2020-01-01T03:07:08.743Z,305.0,6.27,3.86,-0.888,2.35
2020-01-01T03:08:47.987Z,312.0,8.91,3.67,-0.726,2.36
2020-01-01T03:10:27.230Z,313.0,9.42,3.44,-0.594,2.4
2020-01-01T03:12:06.474Z,303.0,5.97,4.05,-1.23,2.15
2020-01-01T03:13:42.616Z,302.0,5.61,4.15,-1.47,2.09
2020-01-01T03:15:21.860Z,301.0,5.5,4.23,-1.48,2.1
2020-01-01T03:17:01.104Z,300.0,5.17,4.43,-1.69,2.02
2020-01-01T03:18:40.348Z,299.0,5.48,4.4,-1.55,2.06
2020-01-01T03:20:19.591Z,300.0,5.29,4.39,-1.65,1.91
2020-01-01T03:21:58.835Z,298.0,4.79,4.41,-1.42,1.98
2020-01-01T03:23:38.079Z,299.0,4.16,4.39,-1.57,1.94
2020-01-01T03:25:20.424Z,300.0,4.26,4.37,-1.32,2.04
2020-01-01T03:26:59.667Z,301.0,5.1,3.84,-1.17,2.15
2020-01-01T03:28:38.911Z,315.0,7.85,2.96,-2.86,1.92
2020-01-01T03:35:15.886Z,312.0,9.5,3.67,-0.25,1.54
2020-01-01T03:36:55.130Z,313.0,8.97,3.53,-1.22,1.49
2020-01-01T03:38:34.373Z,313.0,8.48,3.43,-1.6,1.53
2020-01-01T03:40:13.617Z,313.0,8.86,3.49,-1.16,1.43
2020-01-01T03:41:52.861Z,313.0,8.36,3.38,-1.63,1.42
2020-01-01T03:43:29.003Z,315.0,8.76,3.28,-1.52,1.53
2020-01-01T03:45:08.247Z,313.0,9.4,3.3,-1.37,1.45
2020-01-01T03:46:47.491Z,313.0,9.31,3.31,-1.33,1.4
2020-01-01T03:48:26.734Z,313.0,9.27,3.33,-1.37,1.28
2020-01-01T03:50:05.978Z,312.0,9.11,3.41,-1.44,1.1
2020-01-01T03:51:42.120Z,312.0,8.95,3.59,-1.52,1.14
2020-01-01T03:53:21.364Z,312.0,8.84,3.53,-1.37,1.05
2020-01-01T03:55:00.608Z,312.0,8.59,3.69,-1.53,1.21
2020-01-01T03:56:39.852Z,312.0,8.43,3.74,-1.53,1.17
2020-01-01T03:58:19.095Z,312.0,8.46,3.62,-1.71,1.49
2020-01-01T03:59:58.339Z,314.0,8.17,3.68,-1.87,1.55
2020-01-01T04:01:37.583Z,313.0,8.33,3.62,-2.0,1.07
2020-01-01T04:03:16.826Z,313.0,8.87,3.61,-1.99,0.898
2020-01-01T04:04:56.070Z,314.0,8.82,3.55,-2.0,0.716
2020-01-01T04:06:38.415Z,306.0,4.81,3.19,-2.56,0.399
2020-01-01T04:09:56.903Z,304.0,5.04,3.1,-2.66,-0.0141
2020-01-01T04:13:15.390Z,305.0,3.54,3.21,-2.71,0.0254
2020-01-01T04:14:54.634Z,307.0,4.08,2.93,-3.04,-0.575
2020-01-01T04:16:33.878Z,312.0,4.04,2.57,-3.08,-1.25
2020-01-01T04:18:13.121Z,316.0,8.23,2.41,-2.95,-1.66
2020-01-01T04:19:52.365Z,315.0,8.0,2.54,-3.02,-1.21
2020-01-01T04:21:31.609Z,316.0,7.67,2.58,-3.18,-1.22
2020-01-01T04:23:10.852Z,308.0,3.56,2.99,-2.94,-0.915
2020-01-01T04:24:46.995Z,303.0,5.66,3.17,-2.78,-0.697
2020-01-01T04:26:26.239Z,308.0,6.85,3.11,-2.7,-0.869
2020-01-01T04:28:05.482Z,306.0,3.58,3.11,-2.53,0.0868
2020-01-01T04:29:44.726Z,304.0,3.28,3.29,-2.39,-0.13
